user_id,register_date,platform,country_code,ftd_returning_users,n_of_purchases,total_spend,avg_spend_per_purchase,ftd_date,dfr_to_1st_purchase,purchase_amount_1st_purchase,coins_received_1st_purchase,balance_before_1st_purchase,spins_bf_1st_purchase,xp_level_1st_purchase,date_2nd_purchase,dfr_to_2nd_purchase,purchase_amount_2nd_purchase,coins_received_2nd_purchase,balance_before_2nd_purchase,spins_bf_2nd_purchase,xp_level_2nd_purchase
da9f5e06-81f8-4a99-947c-67ad2ae0e511,2023-04-23,ANDROID,US,Yes,2,5.98,2.99,2023-04-23,0,1.99,24000000,12258750,73,5,2023-04-23,0,3.99,48000000,36045500,104,7
a65538f9-1c2d-46a3-98ea-bc00a7b7a841,2023-05-13,ANDROID,XX,Yes,5,18.343918020056904,3.668783604011381,2023-05-30,17,1.063655997319587,35000000,4285,17476,131,2023-06-06,24,3.194216992988694,36000000,900515,24281,141
52c9434f-6882-4729-9b39-7fe42cc1e595,2023-06-01,ANDROID,US,No,1,0.99,0.99,2023-06-11,10,0.99,15000000,2188220,859,40,,,,,,0,
c1627f09-a849-4523-9958-20657fa80323,2023-06-02,ANDROID,US,Yes,2,3.9800000000000004,1.9900000000000002,2023-06-02,0,0.99,12000000,633180,249,24,2023-06-02,0,2.99,60000000,911746,327,41
67479855-7087-445a-8f14-a69c0cac958a,2023-02-21,ANDROID,US,No,1,0.99,0.99,2023-03-06,13,0.99,10000000,30997725,216,18,,,,,,0,
3186c269-81f3-49c9-9234-94c356c97efd,2023-03-20,IOS,US,Yes,2,3.9800000000000004,1.9900000000000002,2023-03-20,0,2.99,100000000,12360370,201,12,2023-03-20,0,0.99,10000000,110740870,243,13
20d2029f-0013-4dd5-ba71-fa236d0530d4,2023-05-28,IOS,XX,No,1,2.99,2.99,2023-06-01,4,2.99,48000000,19506185,527,21,,,,,,0,
3fa7ee02-33bf-4e6d-a2fd-5606e482c2b8,2023-01-28,ANDROID,US,Yes,3,4.97,1.6566666666666665,2023-04-10,72,0.99,48000000,50306,4235,89,2023-05-09,101,1.99,24000000,16368346,5250,94
8be149dd-4d5c-421c-b82b-9d93e301c834,2023-02-19,ANDROID,XX,No,1,28.06852682164908,28.06852682164908,2023-02-19,0,28.06852682164908,3300000000,2700625,459,69,,,,,,0,
0bdde5f3-c5ba-4d55-b825-c89c003c9b4e,2023-03-13,IOS,US,Yes,4,15.96,3.99,2023-03-18,5,0.99,50000000,92021,2395,106,2023-03-18,5,4.99,53000000,18461,2766,111
